"ID","INCOME_RANGE_CODE","EMPLOYMENT_LVL_CODE","ENGLISH_LANGUAGE_NATIVE","HIGHEST_ED_LVL_CODE_MOTHER","HIGHEST_ED_LVL_CODE_FATHER"
257,"02-LT35K","2","Y","00-UNKNOWN","00-UNKNOWN"
8771,"05-LT70K","3","Y","00-UNKNOWN","01-HS_DNF"
8644,"06-LT85K","2","Y","05-BACC","06-MASTER"
6106,"06-LT85K","3","Y","02-HS_GRAD","03-SOMECOL"
8976,"05-LT70K","3","N","05-BACC","05-BACC"
7661,NA,"3","N","04-ASSOC","04-ASSOC"
2558,"05-LT70K","1","Y","02-HS_GRAD","03-SOMECOL"
379,"02-LT35K","3","N","07-DOCTOR","03-SOMECOL"
4515,"04-LT55K","3","Y","03-SOMECOL","03-SOMECOL"
9431,NA,NA,"Y",NA,NA
7924,"05-LT70K","3","Y","03-SOMECOL","06-MASTER"
1120,"01-LT25K","2","Y","03-SOMECOL","03-SOMECOL"
2475,"05-LT70K","1","Y","02-HS_GRAD","02-HS_GRAD"
3000,NA,NA,"Y","02-HS_GRAD","02-HS_GRAD"
1809,"03-LT45K","3","Y","05-BACC","05-BACC"
9884,"05-LT70K","3","Y","05-BACC","05-BACC"
9864,"05-LT70K","3","Y","02-HS_GRAD","02-HS_GRAD"
6027,"03-LT45K","3","Y","02-HS_GRAD","00-UNKNOWN"
2366,"06-LT85K","2","Y","03-SOMECOL","06-MASTER"
5665,"03-LT45K","3","Y","03-SOMECOL","02-HS_GRAD"
6873,"05-LT70K","3","Y","05-BACC","06-MASTER"
9673,"02-LT35K","3","Y","02-HS_GRAD","03-SOMECOL"
5239,"04-LT55K","3","Y","05-BACC","05-BACC"
2104,"01-LT25K","3","Y","00-UNKNOWN","00-UNKNOWN"
7148,"01-LT25K","3","Y","02-HS_GRAD","02-HS_GRAD"
4791,"02-LT35K","3","Y","05-BACC","06-MASTER"
3861,"06-LT85K","3","Y","03-SOMECOL","05-BACC"
4930,"03-LT45K","3","N","03-SOMECOL","01-HS_DNF"
9137,"09-GE120K","3","Y","04-ASSOC","05-BACC"
5437,"03-LT45K","2","N","01-HS_DNF","06-MASTER"
6600,"03-LT45K","3","Y","02-HS_GRAD","01-HS_DNF"
8655,"01-LT25K","1","Y","02-HS_GRAD","01-HS_DNF"
5611,"04-LT55K","3","Y","05-BACC","07-DOCTOR"
3363,"09-GE120K","3","Y","02-HS_GRAD","02-HS_GRAD"
5916,"06-LT85K","3","Y","05-BACC","02-HS_GRAD"
6555,"01-LT25K","1","Y","05-BACC","05-BACC"
6182,"01-LT25K","2","Y","04-ASSOC","00-UNKNOWN"
1648,"02-LT35K","3","Y","02-HS_GRAD","01-HS_DNF"
4498,"09-GE120K",NA,"Y","03-SOMECOL","03-SOMECOL"
3639,"05-LT70K","3","Y","04-ASSOC","04-ASSOC"
7346,"01-LT25K","1","Y","02-HS_GRAD","02-HS_GRAD"
3532,NA,"3","Y",NA,NA
6247,"05-LT70K","3","Y","02-HS_GRAD","02-HS_GRAD"
9325,"04-LT55K","3","Y","03-SOMECOL","02-HS_GRAD"
1777,"09-GE120K","3","Y","03-SOMECOL","04-ASSOC"
3539,"02-LT35K","2","Y","05-BACC","00-UNKNOWN"
1047,"01-LT25K","1","Y","05-BACC","03-SOMECOL"
916,"01-LT25K","1","Y","00-UNKNOWN","02-HS_GRAD"
692,"01-LT25K",NA,"Y","05-BACC","05-BACC"
8419,"01-LT25K","2","N","04-ASSOC","06-MASTER"
1817,"07-LT100K","3","Y","02-HS_GRAD","03-SOMECOL"
4134,"02-LT35K","3","Y","02-HS_GRAD","02-HS_GRAD"
2877,"01-LT25K","1","Y","02-HS_GRAD","02-HS_GRAD"
4705,"03-LT45K","3","N","01-HS_DNF","05-BACC"
9142,"05-LT70K","3","Y","02-HS_GRAD","02-HS_GRAD"
6957,"05-LT70K","3","N","02-HS_GRAD","02-HS_GRAD"
246,"02-LT35K","1","Y","02-HS_GRAD","03-SOMECOL"
9016,"05-LT70K","2","Y","03-SOMECOL","02-HS_GRAD"
4660,"04-LT55K","3","Y","02-HS_GRAD","06-MASTER"
7877,"07-LT100K","3","Y","03-SOMECOL","02-HS_GRAD"
7992,"02-LT35K","2","Y","03-SOMECOL","03-SOMECOL"
3853,"09-GE120K","3","Y","02-HS_GRAD","02-HS_GRAD"
9397,"06-LT85K",NA,"Y","06-MASTER","06-MASTER"
1571,"02-LT35K","3","Y","01-HS_DNF","03-SOMECOL"
9944,"04-LT55K","2","Y","05-BACC","00-UNKNOWN"
3451,"06-LT85K","3","Y","05-BACC","05-BACC"
8142,"02-LT35K","3","Y","05-BACC","03-SOMECOL"
5652,"04-LT55K",NA,"Y","02-HS_GRAD","02-HS_GRAD"
1996,"08-LT120K","3","Y","02-HS_GRAD","02-HS_GRAD"
9152,"05-LT70K","3","Y","03-SOMECOL","06-MASTER"
2025,"03-LT45K","3","Y","02-HS_GRAD","02-HS_GRAD"
6161,"06-LT85K","3","Y","02-HS_GRAD","02-HS_GRAD"
2982,"04-LT55K","3","Y","02-HS_GRAD","01-HS_DNF"
3887,"04-LT55K","3","Y","02-HS_GRAD","04-ASSOC"
8587,"03-LT45K","3","Y","01-HS_DNF","02-HS_GRAD"
463,"02-LT35K","3","Y","02-HS_GRAD","01-HS_DNF"
4414,"06-LT85K","3","Y","00-UNKNOWN","02-HS_GRAD"
4849,"03-LT45K","3","N","02-HS_GRAD","03-SOMECOL"
8430,"04-LT55K","3","Y","05-BACC","03-SOMECOL"
2285,"08-LT120K","3","Y","00-UNKNOWN","05-BACC"
3350,"07-LT100K","3","Y","02-HS_GRAD","02-HS_GRAD"
6773,"02-LT35K","3","Y","02-HS_GRAD","02-HS_GRAD"
221,"03-LT45K","3","Y","06-MASTER","03-SOMECOL"
8096,"01-LT25K","3","Y","06-MASTER","02-HS_GRAD"
7403,"05-LT70K","3","Y","04-ASSOC","02-HS_GRAD"
5468,"03-LT45K","1","Y","05-BACC","05-BACC"
9233,"06-LT85K","1","Y","02-HS_GRAD","05-BACC"
9904,"04-LT55K","3","Y","02-HS_GRAD","04-ASSOC"
4344,"05-LT70K","3","Y","02-HS_GRAD","03-SOMECOL"
1962,"04-LT55K","1","N","00-UNKNOWN","00-UNKNOWN"
3632,"06-LT85K",NA,"Y","04-ASSOC","06-MASTER"
9389,"04-LT55K","3","Y","02-HS_GRAD","02-HS_GRAD"
7900,"05-LT70K","3","Y","04-ASSOC","06-MASTER"
3485,"03-LT45K","3","Y","02-HS_GRAD","05-BACC"
3362,"05-LT70K","2","Y","02-HS_GRAD","02-HS_GRAD"
1765,"03-LT45K","3","Y","03-SOMECOL","02-HS_GRAD"
1388,"01-LT25K","1","N","04-ASSOC","04-ASSOC"
9672,"03-LT45K","3","Y","02-HS_GRAD","00-UNKNOWN"
3237,"03-LT45K","3","Y","01-HS_DNF","01-HS_DNF"
456,"06-LT85K","1","N","00-UNKNOWN","00-UNKNOWN"
1463,"02-LT35K","3","Y","05-BACC","05-BACC"
980,"05-LT70K","3","Y","02-HS_GRAD","01-HS_DNF"
5735,"03-LT45K","3","Y","02-HS_GRAD","02-HS_GRAD"
8795,"08-LT120K","3","N","01-HS_DNF","01-HS_DNF"
8888,"05-LT70K","3","Y","06-MASTER","05-BACC"
5711,"06-LT85K","3","Y","02-HS_GRAD","02-HS_GRAD"
8480,"04-LT55K","3","Y","03-SOMECOL","03-SOMECOL"
5188,"09-GE120K","3","Y","00-UNKNOWN","00-UNKNOWN"
7933,"06-LT85K","3","N","02-HS_GRAD","01-HS_DNF"
6791,"01-LT25K","2","N","02-HS_GRAD","02-HS_GRAD"
5648,"06-LT85K","3","Y","02-HS_GRAD","02-HS_GRAD"
